Folder,Filename,Optional New Filename,"Project Name
(street name)",Before or After?,"Keywords
(semicolons)",Notes
HOW TO USE,"Fill in Keywords for each photo using semicolons (example: pergola; fire pit; stone patio). For Projects, add the street name. Mark photos Before or After where needed.",,,,,
HOME PAGE,,,,,,
home page,Hero Pic,,,After,swimming pool; gergola; patio; outdoor living; waterfall; lush garden,
home page,Hardscapes,,,After,brick patio; flagstone pathway; seasonal color; boulder,
home page,Landscaping,,,After,seasonal color; boulder; blue cypress; stone border,
home page,Lighting,,,After,landscape lighting; up lights; accent lighting,
home page,Maintenance,,,After,lawncare; yard of the month; flowerbed; shrubbery; stone border,
home page,Outdoor living,,,After,flagstone pathway; stone border; native landscape; cedar pergola; outdoor living,
home page,Water Features,,,After,feng shui; spill over pot; invisible basin; water fountain; river rock,
HARDSCAPES,,,,,,
hardscapes,20170501_091134-1.jpg,,,After,flagstone; patio; stone; outdoor living,
hardscapes,20170613_132248-scaled.jpg,,,After,flagstone; walkway; stone border; boulder,
hardscapes,Border and Water Feature,,,After,stone border; water fountain,
hardscapes,Craig Street (3),,,After,flagstone pathway; stone; outdoor living; xeriscape,
hardscapes,Flagstone (1),,,After,flagstone pavers; river rock; walkway,
hardscapes,Flagstone (2),,,Before,flagstone pavers; walkway,
hardscapes,Flagstone (3),,,After,flagstone pavers: river rock; patio; backyard,
hardscapes,Flagstone (4),,,After,flagstone; stepping stones; pond; water feature,
hardscapes,Flagstone (5),,,After,flagstone pathway; stone; outdoor living,
hardscapes,Flagstone (6),,,After,flagstone pathway; stone; walkway,
hardscapes,Flagstone (7),,,After,flagstone pathway; stone; outdoor living,
hardscapes,Flagstone (8),,,After,flagstone; stepping stones; stone border; sod,
hardscapes,Flagstone (9),,,After,flagstone; stepping stones; mondo grass;,
hardscapes,Flagstone Pavers,,,After,flagstone pavers; river rock; walkway,
hardscapes,Flagstone,,,After,flagstone; patio; stone; outdoor living; walkway,
hardscapes,Flagstone-Patio.jpg,,,After,flagstone; patio; stone; outdoor living,
hardscapes,French-Drain.jpg,,,After,french drain; drainage; yard drainage; water management,
